"trial_type","trial_index","plugin_version","time_elapsed","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","placements","move_log","is_final_summary","rt","stimulus","response"
"html-button-response","0","2.1.0","6798","P109","5","","","","","","","","","","","","","","",""
"preload","1","2.1.0","22248","P109","5","true","false","[]","[]","[]","","","","","","","","","",""
"html-button-response","2","2.1.0","43009","P109","5","","","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","49393","P109","5","","","","","","","","","","","","","","",""
"emotion-grid","4","null","69097","P109","5","","","","","","demo","practice","null","-1","[{""image_name"":""sandwich.jpg"",""posX"":225.5,""posY"":139},{""image_name"":""hamburger.jpg"",""posX"":341,""posY"":133},{""image_name"":""french_fries_1.jpg"",""posX"":444.5,""posY"":133},{""image_name"":""ice_cream_1.jpg"",""posX"":224,""posY"":246.5},{""image_name"":""cookie.jpg"",""posX"":332.5,""posY"":242}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""sandwich.jpg"",""posX"":225.5,""posY"":139,""timestamp"":56508},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""hamburger.jpg"",""posX"":341,""posY"":133,""timestamp"":58949},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""posX"":444.5,""posY"":133,""timestamp"":60809.00000000001},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""ice_cream_1.jpg"",""posX"":224,""posY"":246.5,""timestamp"":62244},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":321.5,""posY"":209,""timestamp"":63570},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":329.5,""posY"":257,""timestamp"":65429},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":332.5,""posY"":242,""timestamp"":67729}]","1","","",""
"html-button-response","5","2.1.0","74009","P109","5","","","","","","","","","","","","","","",""
"html-button-response","6","2.1.0","83956","P109","5","","","","","","","","","","","","","","",""
"html-button-response","7","2.1.0","89048","P109","5","","","","","","","","","","","","","","",""
"emotion-grid","8","null","122873","P109","5","","","","","","demo","practice","null","-2","[{""image_name"":""toast.jpg"",""posX"":314.5,""posY"":286},{""image_name"":""bread.jpg"",""posX"":373.5,""posY"":235},{""image_name"":""croissant.jpg"",""posX"":392.5,""posY"":337.5},{""image_name"":""chocolate_2.jpg"",""posX"":623.5,""posY"":486.5},{""image_name"":""candy.jpg"",""posX"":700.5,""posY"":423.5}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""toast.jpg"",""posX"":314.5,""posY"":286,""timestamp"":92003},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""bread.jpg"",""posX"":418.5,""posY"":173.5,""timestamp"":94014},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""bread.jpg"",""posX"":373.5,""posY"":235,""timestamp"":95381},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""croissant.jpg"",""posX"":422,""posY"":346.5,""timestamp"":99092},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""croissant.jpg"",""posX"":392.5,""posY"":337.5,""timestamp"":100549},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""croissant.jpg"",""posX"":392.5,""posY"":337.5,""timestamp"":100734.00000000001},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""posX"":623.5,""posY"":486.5,""timestamp"":102543},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""candy.jpg"",""posX"":700.5,""posY"":423.5,""timestamp"":105113}]","1","","",""
"html-button-response","9","2.1.0","125273","P109","5","","","","","","","","","","","","","2395","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
