"trial_type","trial_index","plugin_version","time_elapsed","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","placements","move_log","is_final_summary","rt","stimulus","response"
"html-button-response","0","2.1.0","24031","p088","8","","","","","","","","","","","","","","",""
"preload","1","2.1.0","25070","p088","8","true","false","[]","[]","[]","","","","","","","","","",""
"html-button-response","2","2.1.0","52329","p088","8","","","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","57267","p088","8","","","","","","","","","","","","","","",""
"emotion-grid","4","null","150066","p088","8","","","","","","demo","practice","null","-1","[{""image_name"":""sandwich.jpg"",""posX"":857,""posY"":143},{""image_name"":""hamburger.jpg"",""posX"":733,""posY"":243.5},{""image_name"":""french_fries_1.jpg"",""posX"":852.5,""posY"":344},{""image_name"":""ice_cream_1.jpg"",""posX"":658.5,""posY"":444.5},{""image_name"":""cookie.jpg"",""posX"":547,""posY"":462.5}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""sandwich.jpg"",""posX"":857,""posY"":143,""timestamp"":66347.00000000001},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""hamburger.jpg"",""posX"":318,""posY"":659,""timestamp"":69790},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""posX"":1165,""posY"":535.5,""timestamp"":72909},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""ice_cream_1.jpg"",""posX"":658.5,""posY"":444.5,""timestamp"":76728.00000000001},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":794.5,""posY"":623.5,""timestamp"":82090},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":794.5,""posY"":623.5,""timestamp"":91303},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":794.5,""posY"":623.5,""timestamp"":91394},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":547,""posY"":462.5,""timestamp"":95038},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""posX"":955.5,""posY"":366,""timestamp"":101285},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""posX"":852.5,""posY"":344,""timestamp"":103554}]","1","","",""
"html-button-response","5","2.1.0","164428","p088","8","","","","","","","","","","","","","","",""
"html-button-response","6","2.1.0","175495","p088","8","","","","","","","","","","","","","","",""
"html-button-response","7","2.1.0","178849","p088","8","","","","","","","","","","","","","","",""
"emotion-grid","8","null","232314","p088","8","","","","","","demo","practice","null","-2","[{""image_name"":""toast.jpg"",""posX"":378.5,""posY"":342},{""image_name"":""bread.jpg"",""posX"":516,""posY"":362.5},{""image_name"":""croissant.jpg"",""posX"":215,""posY"":378.5},{""image_name"":""chocolate_2.jpg"",""posX"":1013,""posY"":201},{""image_name"":""candy.jpg"",""posX"":1165,""posY"":175.5}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""toast.jpg"",""posX"":378.5,""posY"":342,""timestamp"":183303},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""bread.jpg"",""posX"":516,""posY"":362.5,""timestamp"":192843.00000000003},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""croissant.jpg"",""posX"":225,""posY"":403,""timestamp"":195645},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""croissant.jpg"",""posX"":215,""posY"":378.5,""timestamp"":196103},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""posX"":215,""posY"":260.5,""timestamp"":199012},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""candy.jpg"",""posX"":1165,""posY"":175.5,""timestamp"":202724.00000000003},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""posX"":1013,""posY"":201,""timestamp"":205450.00000000003}]","1","","",""
"html-button-response","9","2.1.0","235809","p088","8","","","","","","","","","","","","","3493","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","10","2.1.0","246262","p088","8","","","","","","","","","","","","","","",""
"html-button-response","11","2.1.0","247093","p088","8","","","","","","","","","","","","","830","
            <div style=""font-size:24px; padding:20px;"">
              Block 1 of 3
            </div>
          ","0"
"html-button-response","12","2.1.0","252496","p088","8","","","","","","","","","","","","","","",""
