"trial_type","trial_index","plugin_version","time_elapsed","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","placements","move_log","is_final_summary","rt","stimulus","response"
"html-button-response","0","2.1.0","6883","p070","2","","","","","","","","","","","","","","",""
"preload","1","2.1.0","10791","p070","2","true","false","[]","[]","[]","","","","","","","","","",""
"html-button-response","2","2.1.0","47240","p070","2","","","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","61007","p070","2","","","","","","","","","","","","","","",""
"emotion-grid","4","null","117792","p070","2","","","","","","demo","practice","null","-1","[{""image_name"":""sandwich.jpg"",""posX"":259.5,""posY"":472.5},{""image_name"":""hamburger.jpg"",""posX"":260.5,""posY"":538.5},{""image_name"":""french_fries_1.jpg"",""posX"":290,""posY"":624},{""image_name"":""ice_cream_1.jpg"",""posX"":414.5,""posY"":446},{""image_name"":""cookie.jpg"",""posX"":539,""posY"":442.5}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""sandwich.jpg"",""posX"":215,""posY"":406,""timestamp"":73080},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""hamburger.jpg"",""posX"":215,""posY"":400,""timestamp"":76552},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""posX"":301.5,""posY"":652.5,""timestamp"":86583},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""ice_cream_1.jpg"",""posX"":414.5,""posY"":446,""timestamp"":91700},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":293,""posY"":520.5,""timestamp"":95471},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""cookie.jpg"",""posX"":539,""posY"":442.5,""timestamp"":105493.00000000001},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""hamburger.jpg"",""posX"":260.5,""posY"":538.5,""timestamp"":109387},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""sandwich.jpg"",""posX"":253,""posY"":496.5,""timestamp"":110820.00000000001},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""sandwich.jpg"",""posX"":259.5,""posY"":472.5,""timestamp"":111864},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""posX"":290,""posY"":624,""timestamp"":112889}]","1","","",""
"html-button-response","5","2.1.0","134440","p070","2","","","","","","","","","","","","","","",""
"html-button-response","6","2.1.0","150723","p070","2","","","","","","","","","","","","","","",""
"html-button-response","7","2.1.0","155210","p070","2","","","","","","","","","","","","","","",""
"emotion-grid","8","null","186384","p070","2","","","","","","demo","practice","null","-2","[{""image_name"":""toast.jpg"",""posX"":305.5,""posY"":362.5},{""image_name"":""bread.jpg"",""posX"":231,""posY"":552.5},{""image_name"":""croissant.jpg"",""posX"":424,""posY"":558.5},{""image_name"":""chocolate_2.jpg"",""posX"":454.5,""posY"":383},{""image_name"":""candy.jpg"",""posX"":578.5,""posY"":414}]","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""toast.jpg"",""posX"":305.5,""posY"":362.5,""timestamp"":159728},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""bread.jpg"",""posX"":231,""posY"":552.5,""timestamp"":165372},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""croissant.jpg"",""posX"":424,""posY"":558.5,""timestamp"":169902.00000000003},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""posX"":454.5,""posY"":383,""timestamp"":177362},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""candy.jpg"",""posX"":578.5,""posY"":414,""timestamp"":182265.00000000003}]","1","","",""
"html-button-response","9","2.1.0","188253","p070","2","","","","","","","","","","","","","1866","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","10","2.1.0","199489","p070","2","","","","","","","","","","","","","","",""
"html-button-response","11","2.1.0","200474","p070","2","","","","","","","","","","","","","983","
            <div style=""font-size:24px; padding:20px;"">
              Block 1 of 3
            </div>
          ","0"
"html-button-response","12","2.1.0","210817","p070","2","","","","","","","","","","","","","","",""
