"trial_type","trial_index","plugin_version","time_elapsed","category_order","set_assignment","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","move_log","rt","stimulus","response"
"html-button-response","0","2.1.0","11727","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","","","","","","","","","","","","",""
"preload","1","2.1.0","12548","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","true","false","[]","[]","[]","","","","","","","",""
"html-button-response","2","2.1.0","57189","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","120961","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","","","","","","","","","","","","",""
"emotion-grid","4","null","163040","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","","","","","","demo","practice","null","-1","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_1.jpg"",""grid_col"":7,""grid_row"":2,""timestamp"":125494},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_2.jpg"",""grid_col"":7,""grid_row"":3,""timestamp"":132298},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""grid_col"":4,""grid_row"":2,""timestamp"":140845},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_2.jpg"",""grid_col"":4,""grid_row"":3,""timestamp"":146140.00000000003},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""snowman_1.jpg"",""grid_col"":5,""grid_row"":4,""timestamp"":150034},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""snowman_1.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":153928}]","","",""
"html-button-response","5","2.1.0","165399","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","","","","","","","","","","","2357","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job! Let's try one more!
        </div>
      </div>


    ","0"
"html-button-response","6","2.1.0","173396","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","","","","","","","","","","","","",""
"emotion-grid","7","null","232524","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","","","","","","demo","practice","null","-2","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_1.jpg"",""grid_col"":7,""grid_row"":3,""timestamp"":181596},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_2.jpg"",""grid_col"":8,""grid_row"":3,""timestamp"":184371},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_1.jpg"",""grid_col"":5,""grid_row"":3,""timestamp"":186189},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":6,""grid_row"":3,""timestamp"":186816},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""cloud.jpg"",""grid_col"":4,""grid_row"":4,""timestamp"":189517},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":6,""grid_row"":3,""timestamp"":197789.00000000003},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":201574},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_1.jpg"",""grid_col"":2,""grid_row"":5,""timestamp"":204184},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""cloud.jpg"",""grid_col"":1,""grid_row"":1,""timestamp"":222780},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_1.jpg"",""grid_col"":6,""grid_row"":5,""timestamp"":227900},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":228425},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":5,""grid_row"":5,""timestamp"":229875}]","","",""
"html-button-response","8","2.1.0","236140","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","","","","","","","","","","","3615","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","9","2.1.0","237534","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","","","","","","","","","","","","",""
"html-button-response","10","2.1.0","239050","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","","","","","","","","","","","1515","
      <div style=""font-size:24px; padding:20px;"">
        Block 1 of 2
      </div>
    ","0"
"html-button-response","11","2.1.0","256076","emotions,plants,animals","{""emotions"":{""block1"":1,""block2"":0},""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":1,""block2"":0}}","p007","7","","","","","","","","","","","","",""
