"trial_type","trial_index","plugin_version","time_elapsed","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","move_log","rt","stimulus","response"
"html-button-response","0","2.1.0","245689","p016","8","","","","","","","","","","","","",""
"preload","1","2.1.0","246231","p016","8","true","false","[]","[]","[]","","","","","","","",""
"html-button-response","2","2.1.0","283002","p016","8","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","289536","p016","8","","","","","","","","","","","","",""
"emotion-grid","4","null","333096","p016","8","","","","","","demo","practice","null","-1","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_1.jpg"",""grid_col"":8,""grid_row"":2,""timestamp"":296673},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_2.jpg"",""grid_col"":8,""grid_row"":3,""timestamp"":303136},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""grid_col"":6,""grid_row"":2,""timestamp"":310382},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_2.jpg"",""grid_col"":6,""grid_row"":3,""timestamp"":315860},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""snowman_1.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":326107}]","","",""
"html-button-response","5","2.1.0","343373","p016","8","","","","","","","","","","","10275","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job! Let's try one more!
        </div>
      </div>


    ","0"
"html-button-response","6","2.1.0","353314","p016","8","","","","","","","","","","","","",""
"emotion-grid","7","null","381806","p016","8","","","","","","demo","practice","null","-2","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_1.jpg"",""grid_col"":9,""grid_row"":1,""timestamp"":357552},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_2.jpg"",""grid_col"":10,""grid_row"":1,""timestamp"":360346},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_1.jpg"",""grid_col"":6,""grid_row"":4,""timestamp"":362091},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":1,""grid_row"":6,""timestamp"":365532},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""cloud.jpg"",""grid_col"":1,""grid_row"":1,""timestamp"":369077},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_1.jpg"",""grid_col"":2,""grid_row"":6,""timestamp"":371011}]","","",""
"html-button-response","8","2.1.0","386153","p016","8","","","","","","","","","","","4346","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","9","2.1.0","397267","p016","8","","","","","","","","","","","","",""
"html-button-response","10","2.1.0","400127","p016","8","","","","","","","","","","","2860","
            <div style=""font-size:24px; padding:20px;"">
              Block 1 of 3
            </div>
          ","0"
"html-button-response","11","2.1.0","404702","p016","8","","","","","","","","","","","","",""
"emotion-grid","12","null","444114","p016","8","","","","","","p016","main","1","1","[{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""pigeon_2.jpg"",""grid_col"":10,""grid_row"":1,""timestamp"":408018},{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""dolphin_2.jpg"",""grid_col"":1,""grid_row"":6,""timestamp"":410185},{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""squirrel_2.jpg"",""grid_col"":6,""grid_row"":6,""timestamp"":411937},{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""wolf_2.jpg"",""grid_col"":1,""grid_row"":1,""timestamp"":414013.00000000006},{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""sheep_2.jpg"",""grid_col"":6,""grid_row"":1,""timestamp"":416731},{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""butterfly_2.jpg"",""grid_col"":10,""grid_row"":4,""timestamp"":420502},{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""fox_2.jpg"",""grid_col"":8,""grid_row"":2,""timestamp"":425787.00000000006},{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""horse_2.jpg"",""grid_col"":4,""grid_row"":2,""timestamp"":428063},{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""lion_2.jpg"",""grid_col"":1,""grid_row"":3,""timestamp"":430766},{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""ladybug_2.jpg"",""grid_col"":4,""grid_row"":6,""timestamp"":434225},{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""fish_2.jpg"",""grid_col"":9,""grid_row"":6,""timestamp"":436694},{""participant"":""p016"",""phase"":""main"",""block"":1,""trial"":1,""image"":""peacock_2.jpg"",""grid_col"":8,""grid_row"":1,""timestamp"":439855}]","","",""
"html-button-response","13","2.1.0","450323","p016","8","","","","","","","","","","","6207","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
"html-button-response","14","2.1.0","454643","p016","8","","","","","","","","","","","","",""
