"trial_type","trial_index","plugin_version","time_elapsed","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","move_log","rt","stimulus","response"
"html-button-response","0","2.1.0","1823833","p026","6","","","","","","","","","","","","",""
"preload","1","2.1.0","1824783","p026","6","true","false","[]","[]","[]","","","","","","","",""
"html-button-response","2","2.1.0","1923158","p026","6","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","1928528","p026","6","","","","","","","","","","","","",""
"emotion-grid","4","null","1973644","p026","6","","","","","","demo","practice","null","-1","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_1.jpg"",""grid_col"":8,""grid_row"":2,""timestamp"":1938323},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_2.jpg"",""grid_col"":8,""grid_row"":3,""timestamp"":1945687.0000000002},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""grid_col"":6,""grid_row"":2,""timestamp"":1951806},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_2.jpg"",""grid_col"":6,""grid_row"":3,""timestamp"":1957844},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""snowman_1.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":1964489}]","","",""
"html-button-response","5","2.1.0","1977042","p026","6","","","","","","","","","","","3396","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job! Let's try one more!
        </div>
      </div>


    ","0"
"html-button-response","6","2.1.0","1980925","p026","6","","","","","","","","","","","","",""
"emotion-grid","7","null","2007155","p026","6","","","","","","demo","practice","null","-2","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_1.jpg"",""grid_col"":8,""grid_row"":2,""timestamp"":1987303},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_2.jpg"",""grid_col"":8,""grid_row"":3,""timestamp"":1990898.0000000002},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_1.jpg"",""grid_col"":6,""grid_row"":2,""timestamp"":1996876},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":6,""grid_row"":3,""timestamp"":1999194},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""cloud.jpg"",""grid_col"":1,""grid_row"":4,""timestamp"":2004340.0000000002}]","","",""
"html-button-response","8","2.1.0","2008152","p026","6","","","","","","","","","","","996","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","9","2.1.0","2015653","p026","6","","","","","","","","","","","","",""
"html-button-response","10","2.1.0","2016487","p026","6","","","","","","","","","","","833","
            <div style=""font-size:24px; padding:20px;"">
              Block 1 of 3
            </div>
          ","0"
"html-button-response","11","2.1.0","2019455","p026","6","","","","","","","","","","","","",""
"emotion-grid","12","null","2098085","p026","6","","","","","","p026","main","1","1","[{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""leaf_1.jpg"",""grid_col"":4,""grid_row"":1,""timestamp"":2027504.0000000002},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""apple_1.jpg"",""grid_col"":10,""grid_row"":3,""timestamp"":2033625},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""grass_1.jpg"",""grid_col"":4,""grid_row"":2,""timestamp"":2035785},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""cactus_1.jpg"",""grid_col"":4,""grid_row"":3,""timestamp"":2037811.0000000002},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""cabbage_1.jpg"",""grid_col"":4,""grid_row"":4,""timestamp"":2047950},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""tree_1.jpg"",""grid_col"":4,""grid_row"":5,""timestamp"":2051328},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""cabbage_1.jpg"",""grid_col"":4,""grid_row"":4,""timestamp"":2056965.0000000002},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""cherry_1.jpg"",""grid_col"":10,""grid_row"":4,""timestamp"":2059166.0000000002},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""peanut_1.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":2064284.9999999998},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""broccoli_1.jpg"",""grid_col"":5,""grid_row"":5,""timestamp"":2067529},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""acorn_1.jpg"",""grid_col"":6,""grid_row"":4,""timestamp"":2069139.0000000002},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""broccoli_1.jpg"",""grid_col"":2,""grid_row"":1,""timestamp"":2074984},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""cabbage_1.jpg"",""grid_col"":2,""grid_row"":2,""timestamp"":2076569},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""flower_1.jpg"",""grid_col"":4,""grid_row"":4,""timestamp"":2079821},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""blueberry_1.jpg"",""grid_col"":10,""grid_row"":5,""timestamp"":2082429.9999999998},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""acorn_1.jpg"",""grid_col"":7,""grid_row"":4,""timestamp"":2087842.9999999998},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":1,""image"":""peanut_1.jpg"",""grid_col"":7,""grid_row"":5,""timestamp"":2096740.0000000002}]","","",""
"html-button-response","13","2.1.0","2100996","p026","6","","","","","","","","","","","2908","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
"html-button-response","14","2.1.0","2103286","p026","6","","","","","","","","","","","","",""
"emotion-grid","15","null","2160699","p026","6","","","","","","p026","main","1","2","[{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""grass_2.jpg"",""grid_col"":2,""grid_row"":1,""timestamp"":2108189},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""acorn_2.jpg"",""grid_col"":7,""grid_row"":4,""timestamp"":2110873},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""flower_2.jpg"",""grid_col"":2,""grid_row"":2,""timestamp"":2113842},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""tree_2.jpg"",""grid_col"":2,""grid_row"":3,""timestamp"":2115985},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""cactus_2.jpg"",""grid_col"":2,""grid_row"":4,""timestamp"":2118136},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""apple_2.jpg"",""grid_col"":10,""grid_row"":3,""timestamp"":2120496},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""broccoli_2.jpg"",""grid_col"":2,""grid_row"":5,""timestamp"":2131769},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""cherry_2.jpg"",""grid_col"":10,""grid_row"":2,""timestamp"":2134172},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""leaf_2.jpg"",""grid_col"":2,""grid_row"":6,""timestamp"":2137353},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""cabbage_2.jpg"",""grid_col"":3,""grid_row"":6,""timestamp"":2141652},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""blueberry_2.jpg"",""grid_col"":10,""grid_row"":4,""timestamp"":2145028.0000000005},{""participant"":""p026"",""phase"":""main"",""block"":1,""trial"":2,""image"":""peanut_2.jpg"",""grid_col"":7,""grid_row"":5,""timestamp"":2152976}]","","",""
"html-button-response","16","2.1.0","2162727","p026","6","","","","","","","","","","","2026","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
"html-button-response","17","2.1.0","2178381","p026","6","","","","","","","","","","","","",""
"html-button-response","18","2.1.0","2179984","p026","6","","","","","","","","","","","1601","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job! Ready for the next round?
        </div>
      </div>


    ","0"
"html-button-response","19","2.1.0","2181092","p026","6","","","","","","","","","","","1107","
            <div style=""font-size:24px; padding:20px;"">
              Block 2 of 3
            </div>
          ","0"
"html-button-response","20","2.1.0","2186482","p026","6","","","","","","","","","","","","",""
"emotion-grid","21","null","2261041","p026","6","","","","","","p026","main","2","3","[{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""angry_2.jpg"",""grid_col"":2,""grid_row"":1,""timestamp"":2193410},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""happy_1.jpg"",""grid_col"":10,""grid_row"":1,""timestamp"":2197670},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""sad_1.jpg"",""grid_col"":6,""grid_row"":3,""timestamp"":2203141},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""sad_2.jpg"",""grid_col"":6,""grid_row"":4,""timestamp"":2205834},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""angry_1.jpg"",""grid_col"":2,""grid_row"":2,""timestamp"":2210537.0000000005},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""surprise_2.jpg"",""grid_col"":4,""grid_row"":6,""timestamp"":2217308},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""surprise_1.jpg"",""grid_col"":4,""grid_row"":5,""timestamp"":2222987},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""fearful_2.jpg"",""grid_col"":8,""grid_row"":1,""timestamp"":2236078},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""happy_2.jpg"",""grid_col"":10,""grid_row"":2,""timestamp"":2239230},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""fearful_1.jpg"",""grid_col"":8,""grid_row"":2,""timestamp"":2242048},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""disgust_1.jpg"",""grid_col"":9,""grid_row"":6,""timestamp"":2252171},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":3,""image"":""disgust_2.jpg"",""grid_col"":9,""grid_row"":5,""timestamp"":2256316.0000000005}]","","",""
"html-button-response","22","2.1.0","2264099","p026","6","","","","","","","","","","","3056","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
"html-button-response","23","2.1.0","2269528","p026","6","","","","","","","","","","","","",""
"emotion-grid","24","null","2372713","p026","6","","","","","","p026","main","2","4","[{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""happy_3.jpg"",""grid_col"":10,""grid_row"":1,""timestamp"":2276211.0000000005},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""sad_3.jpg"",""grid_col"":5,""grid_row"":6,""timestamp"":2279556},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""fearful_4.jpg"",""grid_col"":7,""grid_row"":6,""timestamp"":2284617},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""surprise_3.jpg"",""grid_col"":9,""grid_row"":2,""timestamp"":2289052},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""fearful_3.jpg"",""grid_col"":7,""grid_row"":5,""timestamp"":2292722},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""disgust_3.jpg"",""grid_col"":3,""grid_row"":6,""timestamp"":2301803},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""disgust_4.jpg"",""grid_col"":5,""grid_row"":4,""timestamp"":2305379},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""happy_4.jpg"",""grid_col"":5,""grid_row"":3,""timestamp"":2308198},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""surprise_4.jpg"",""grid_col"":5,""grid_row"":1,""timestamp"":2310050},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""surprise_4.jpg"",""grid_col"":5,""grid_row"":1,""timestamp"":2310359},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""surprise_4.jpg"",""grid_col"":5,""grid_row"":1,""timestamp"":2310674},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""disgust_4.jpg"",""grid_col"":3,""grid_row"":5,""timestamp"":2322257},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""happy_4.jpg"",""grid_col"":10,""grid_row"":2,""timestamp"":2330571},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""angry_4.jpg"",""grid_col"":7,""grid_row"":4,""timestamp"":2348424},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""sad_4.jpg"",""grid_col"":5,""grid_row"":5,""timestamp"":2354294},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""angry_4.jpg"",""grid_col"":3,""grid_row"":4,""timestamp"":2360048},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""angry_3.jpg"",""grid_col"":7,""grid_row"":4,""timestamp"":2367152},{""participant"":""p026"",""phase"":""main"",""block"":2,""trial"":4,""image"":""surprise_4.jpg"",""grid_col"":9,""grid_row"":3,""timestamp"":2369729.0000000005}]","","",""
"html-button-response","25","2.1.0","2373805","p026","6","","","","","","","","","","","1089","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
"html-button-response","26","2.1.0","2388088","p026","6","","","","","","","","","","","","",""
"html-button-response","27","2.1.0","2389070","p026","6","","","","","","","","","","","966","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job! Ready for the next round?
        </div>
      </div>


    ","0"
"html-button-response","28","2.1.0","2390147","p026","6","","","","","","","","","","","1077","
            <div style=""font-size:24px; padding:20px;"">
              Block 3 of 3
            </div>
          ","0"
"html-button-response","29","2.1.0","2392932","p026","6","","","","","","","","","","","","",""
"emotion-grid","30","null","2471952","p026","6","","","","","","p026","main","3","5","[{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""squirrel_1.jpg"",""grid_col"":1,""grid_row"":1,""timestamp"":2398673},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""pigeon_1.jpg"",""grid_col"":10,""grid_row"":1,""timestamp"":2402192},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""fox_1.jpg"",""grid_col"":5,""grid_row"":4,""timestamp"":2404693},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""wolf_1.jpg"",""grid_col"":5,""grid_row"":5,""timestamp"":2408320},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""horse_1.jpg"",""grid_col"":8,""grid_row"":1,""timestamp"":2413298},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""ladybug_1.jpg"",""grid_col"":3,""grid_row"":2,""timestamp"":2423547},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""butterfly_1.jpg"",""grid_col"":3,""grid_row"":3,""timestamp"":2428491},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""dolphin_1.jpg"",""grid_col"":8,""grid_row"":4,""timestamp"":2431359},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""dolphin_1.jpg"",""grid_col"":9,""grid_row"":6,""timestamp"":2438848},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""peacock_1.jpg"",""grid_col"":10,""grid_row"":2,""timestamp"":2445368},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""lion_1.jpg"",""grid_col"":5,""grid_row"":6,""timestamp"":2456285},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""fish_1.jpg"",""grid_col"":9,""grid_row"":5,""timestamp"":2458685},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""sheep_1.jpg"",""grid_col"":8,""grid_row"":2,""timestamp"":2465465},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""horse_1.jpg"",""grid_col"":7,""grid_row"":1,""timestamp"":2468875},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":5,""image"":""sheep_1.jpg"",""grid_col"":7,""grid_row"":2,""timestamp"":2469843}]","","",""
"html-button-response","31","2.1.0","2474615","p026","6","","","","","","","","","","","2660","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
"html-button-response","32","2.1.0","2477255","p026","6","","","","","","","","","","","","",""
"emotion-grid","33","null","2531237","p026","6","","","","","","p026","main","3","6","[{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""pigeon_2.jpg"",""grid_col"":10,""grid_row"":1,""timestamp"":2482801},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""lion_2.jpg"",""grid_col"":5,""grid_row"":4,""timestamp"":2487170},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""butterfly_2.jpg"",""grid_col"":1,""grid_row"":1,""timestamp"":2493015},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""dolphin_2.jpg"",""grid_col"":8,""grid_row"":6,""timestamp"":2502347},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""ladybug_2.jpg"",""grid_col"":1,""grid_row"":2,""timestamp"":2505365.0000000005},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""squirrel_2.jpg"",""grid_col"":1,""grid_row"":3,""timestamp"":2510627},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""fish_2.jpg"",""grid_col"":8,""grid_row"":5,""timestamp"":2513038},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""fox_2.jpg"",""grid_col"":5,""grid_row"":5,""timestamp"":2518723},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""peacock_2.jpg"",""grid_col"":10,""grid_row"":2,""timestamp"":2520891},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""horse_2.jpg"",""grid_col"":7,""grid_row"":1,""timestamp"":2523426},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""wolf_2.jpg"",""grid_col"":5,""grid_row"":6,""timestamp"":2525377},{""participant"":""p026"",""phase"":""main"",""block"":3,""trial"":6,""image"":""sheep_2.jpg"",""grid_col"":7,""grid_row"":2,""timestamp"":2527236}]","","",""
"html-button-response","34","2.1.0","2534900","p026","6","","","","","","","","","","","3660","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
