"trial_type","trial_index","plugin_version","time_elapsed","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","move_log","rt","stimulus","response"
"html-button-response","0","2.1.0","495065","p017","9","","","","","","","","","","","","",""
"preload","1","2.1.0","495443","p017","9","true","false","[]","[]","[]","","","","","","","",""
"html-button-response","2","2.1.0","514850","p017","9","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","522411","p017","9","","","","","","","","","","","","",""
"emotion-grid","4","null","578972","p017","9","","","","","","demo","practice","null","-1","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_1.jpg"",""grid_col"":8,""grid_row"":2,""timestamp"":534645},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_2.jpg"",""grid_col"":8,""grid_row"":3,""timestamp"":542975},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""grid_col"":6,""grid_row"":2,""timestamp"":552047},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_2.jpg"",""grid_col"":6,""grid_row"":3,""timestamp"":561043},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""snowman_1.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":571692}]","","",""
"html-button-response","5","2.1.0","583767","p017","9","","","","","","","","","","","4792","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job! Let's try one more!
        </div>
      </div>


    ","0"
"html-button-response","6","2.1.0","586458","p017","9","","","","","","","","","","","","",""
"emotion-grid","7","null","649689","p017","9","","","","","","demo","practice","null","-2","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_1.jpg"",""grid_col"":5,""grid_row"":2,""timestamp"":594772},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_2.jpg"",""grid_col"":4,""grid_row"":2,""timestamp"":603578},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_1.jpg"",""grid_col"":3,""grid_row"":1,""timestamp"":611908},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":6,""grid_row"":1,""timestamp"":619655},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""cloud.jpg"",""grid_col"":1,""grid_row"":1,""timestamp"":626869},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":4,""grid_row"":1,""timestamp"":638985},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""cloud.jpg"",""grid_col"":1,""grid_row"":6,""timestamp"":645714}]","","",""
"html-button-response","8","2.1.0","657243","p017","9","","","","","","","","","","","7554","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","9","2.1.0","658944","p017","9","","","","","","","","","","","","",""
"html-button-response","10","2.1.0","660571","p017","9","","","","","","","","","","","1626","
            <div style=""font-size:24px; padding:20px;"">
              Block 1 of 3
            </div>
          ","0"
"html-button-response","11","2.1.0","676722","p017","9","","","","","","","","","","","","",""
"emotion-grid","12","null","748233","p017","9","","","","","","p017","main","1","1","[{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""fearful_4.jpg"",""grid_col"":7,""grid_row"":2,""timestamp"":684497.0000000001},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""fearful_3.jpg"",""grid_col"":2,""grid_row"":1,""timestamp"":693969},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""surprise_3.jpg"",""grid_col"":4,""grid_row"":3,""timestamp"":703144},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""happy_4.jpg"",""grid_col"":6,""grid_row"":4,""timestamp"":711942},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""angry_4.jpg"",""grid_col"":1,""grid_row"":3,""timestamp"":721011},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""surprise_4.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":724981},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""sad_3.jpg"",""grid_col"":10,""grid_row"":6,""timestamp"":728651.0000000001},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""sad_4.jpg"",""grid_col"":5,""grid_row"":6,""timestamp"":731302},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""disgust_4.jpg"",""grid_col"":8,""grid_row"":6,""timestamp"":734145},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""angry_3.jpg"",""grid_col"":9,""grid_row"":1,""timestamp"":738023},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""happy_3.jpg"",""grid_col"":1,""grid_row"":6,""timestamp"":741950},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""disgust_3.jpg"",""grid_col"":10,""grid_row"":5,""timestamp"":744584.0000000001},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":1,""image"":""happy_4.jpg"",""grid_col"":6,""grid_row"":6,""timestamp"":746487}]","","",""
"html-button-response","13","2.1.0","752809","p017","9","","","","","","","","","","","4574","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
"html-button-response","14","2.1.0","766936","p017","9","","","","","","","","","","","","",""
"emotion-grid","15","null","806335","p017","9","","","","","","p017","main","1","2","[{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""disgust_2.jpg"",""grid_col"":9,""grid_row"":1,""timestamp"":771302},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""happy_1.jpg"",""grid_col"":10,""grid_row"":6,""timestamp"":773403},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""disgust_1.jpg"",""grid_col"":9,""grid_row"":6,""timestamp"":775478.0000000001},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""fearful_1.jpg"",""grid_col"":7,""grid_row"":6,""timestamp"":778807},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""surprise_2.jpg"",""grid_col"":1,""grid_row"":6,""timestamp"":781709.0000000001},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""sad_2.jpg"",""grid_col"":2,""grid_row"":6,""timestamp"":783725},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""angry_1.jpg"",""grid_col"":3,""grid_row"":6,""timestamp"":785818},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""sad_1.jpg"",""grid_col"":4,""grid_row"":6,""timestamp"":790787},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""surprise_1.jpg"",""grid_col"":5,""grid_row"":6,""timestamp"":792824.0000000001},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""angry_2.jpg"",""grid_col"":6,""grid_row"":6,""timestamp"":794206},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""angry_2.jpg"",""grid_col"":6,""grid_row"":6,""timestamp"":794624},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""fearful_2.jpg"",""grid_col"":5,""grid_row"":3,""timestamp"":795291},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""happy_2.jpg"",""grid_col"":1,""grid_row"":5,""timestamp"":797644},{""participant"":""p017"",""phase"":""main"",""block"":1,""trial"":2,""image"":""fearful_2.jpg"",""grid_col"":1,""grid_row"":4,""timestamp"":800104}]","","",""
"html-button-response","16","2.1.0","810677","p017","9","","","","","","","","","","","4341","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
"html-button-response","17","2.1.0","828738","p017","9","","","","","","","","","","","","",""
"html-button-response","18","2.1.0","831631","p017","9","","","","","","","","","","","2874","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job! Ready for the next round?
        </div>
      </div>


    ","0"
"html-button-response","19","2.1.0","832907","p017","9","","","","","","","","","","","1274","
            <div style=""font-size:24px; padding:20px;"">
              Block 2 of 3
            </div>
          ","0"
"html-button-response","20","2.1.0","841141","p017","9","","","","","","","","","","","","",""
